call_id,customer_id,call_start,call_end,duration_seconds,call_type,origin_country,destination_country,cost_usd,ingestion_date
C010,U001,2026-03-01T18:10:00,2026-03-01T18:10:00,-50,DATA,ES,CL,1.34,2026-03-02
C010,U001,2026-03-01T18:10:00,2026-03-01T18:10:00,-50,DATA,ES,CL,1.34,2026-03-02
C011,U004,2026-03-01T11:23:00,2026-03-01T11:27:56,296,SMS,PT,CL,0.41,2026-03-02
C012,U004,2026-03-04T04:52:00,2026-03-04T04:52:00,-50,DATA,ES,CL,4.04,2026-03-02
C013,,2026-03-03T13:25:00,2026-03-03T13:30:39,339,DATA,CL,PT,0.72,2026-03-02
C014,U004,2026-03-01T20:03:00,2026-03-01T20:03:00,-50,VoIcE,ES,CL,4.96,2026-03-02
C015,U001,2026-03-03T19:12:00,2026-03-03T19:12:00,-50,VOICE,PT,CL,2.94,2026-03-02
C015,U001,2026-03-03T19:12:00,2026-03-03T19:12:00,-50,VOICE,PT,CL,2.94,2026-03-02
C016,U001,2026-03-01T09:58:00,2026-03-01T09:58:00,-50,DATA,CL,US,1.31,2026-03-02
C017,U005,2026-03-04T01:20:00,2026-03-04T01:20:00,-50,DATA,ES,PT,2.42,2026-03-02
C018,U002,2026-03-02T19:02:00,2026-03-02T19:02:00,-50,DATA,CL,CL,0.21,2026-03-02
C019,,2026-03-02T22:44:00,2026-03-02T22:44:00,-50,SMS,ES,US,4.61,2026-03-02
C020,U005,2026-03-02T00:07:00,2026-03-02T00:12:19,319,DATA,ES,CL,3.52,2026-03-02
C020,U005,2026-03-02T00:07:00,2026-03-02T00:12:19,319,DATA,ES,CL,3.52,2026-03-02
C021,U005,2026-03-04T06:16:00,2026-03-04T06:22:03,363,SMS,ES,CL,3.87,2026-03-02
C022,,2026-03-02T08:44:00,2026-03-02T08:44:00,-50,DATA,PT,CL,4.22,2026-03-02
C023,,2026-03-04T11:37:00,2026-03-04T11:41:43,283,VOICE,PT,PT,0.84,2026-03-02
C024,U003,2026-03-02T22:09:00,2026-03-02T22:09:00,-50,SMS,PT,CL,1.24,2026-03-02
